Denis Istomin,46,13,19,162,17,205,30,1320,9
Robin Soderling,141,70,41,485,39,473,67,4280,13
James Blake,174,78,42,848,39,685,68,7150,18
David Ferrer,84,65,44,501,41,610,72,3260,15
Philipp Kohlschreiber,142,61,42,687,34,655,65,5415,18
Xavier Malisse,105,35,38,335,31,359,66,3105,10
Tomas Berdych,154,50,49,610,40,469,72,5850,15
David Nalbandian,161,135,41,954,40,1033,69,6060,24
Gilles Muller,172,32,22,454,20,356,46,4760,11
Juan Ignacio Chela,27,31,33,260,29,342,49,1560,11
Gilles Simon,100,39,35,438,33,520,54,3195,15
Nikolay Davydenko,110,78,34,651,33,767,49,3965,27
Novak Djokovic,351,161,49,1860,43,1811,67,13045,52
Tommy Haas,317,147,49,1174,40,1077,69,9580,28
Alexandr Dolgopolov,54,19,15,167,16,149,33,1690,9
Nicolas Massu,65,61,58,349,42,409,70,2640,10
Feliciano Lopez,184,73,20,527,25,530,50,4570,18
Donald Young,43,67,36,369,39,437,62,2285,12
Mikhail Youzhny,107,87,37,669,34,704,58,4450,21
Dmitry Tursunov,87,40,31,297,23,303,40,2595,10
Thomas Johansson,94,34,30,354,32,334,68,3290,8
Juan Martin Del Potro,211,83,45,793,41,787,70,6470,21
Fernando Gonzalez,184,94,33,797,30,643,59,6735,19
Mardy Fish,235,88,43,786,40,719,63,6905,19
Juan Monaco,36,27,32,228,28,328,46,1395,12
Guillermo Coria,63,45,46,286,42,199,72,3070,8
Jack Sock,100,61,44,360,34,338,69,3340,9
Andreas Seppi,27,28,25,195,22,237,44,1350,8
Ivan Dodig,36,12,23,122,21,116,39,1355,8
Philipp Petzschner,83,34,29,297,29,318,52,2590,8
Alex Jr. Bogomolov,45,50,35,321,38,310,68,2565,9
Milos Raonic,201,48,32,449,33,315,59,5305,9
Michael Llodra,60,33,33,269,24,189,45,2690,9
Andy Murray,281,121,43,1177,42,986,66,9800,31
Nicolas Kiefer,141,69,49,496,39,464,68,4485,13
Andre Agassi,143,59,45,620,42,467,69,5780,17
John Isner,420,68,34,1155,30,863,61,11720,21
Robby Ginepri,166,38,44,639,41,506,62,6065,15
Tim Henman,94,68,48,486,33,376,62,4295,11
Julien Benneteau,117,57,29,398,31,309,56,3900,13
Marcel Granollers,30,12,11,123,13,119,23,1110,11
Marin Cilic,154,83,46,622,41,724,67,4495,16
Janko Tipsarevic,187,50,40,589,32,535,59,5490,18
Roger Federer,668,142,46,2685,42,1821,70,24505,63
Jo-Wilfried Tsonga,122,43,44,510,36,492,68,4385,14
Andy Roddick,649,79,49,1626,38,893,66,18655,42
Radek Stepanek,67,54,30,338,30,371,55,2500,12
Paradorn Srichaphan,95,53,49,408,38,385,66,3605,11
Benjamin Becker,60,21,39,244,25,257,47,2205,8
Ernests Gulbis,102,29,30,319,26,305,53,3085,9
Stanislas Wawrinka,208,79,37,887,35,869,59,6865,21
Ivo Karlovic,265,63,40,652,23,421,45,7290,11
Nicolas Almagro,149,60,31,491,31,470,62,4370,12
Lleyton Hewitt,166,79,49,653,44,557,70,5825,21
Fernando Verdasco,194,152,37,906,34,949,59,6145,24
Ivan Ljubicic,98,29,21,272,20,258,40,2670,8
Marcos Baghdatis,130,63,40,446,31,373,58,4225,11
Tommy Robredo,147,83,41,689,31,634,57,5420,26
Taylor Dent,179,121,40,657,37,469,62,6105,13
Gael Monfils,186,62,39,612,40,567,62,5540,16
Rafael Nadal,188,96,46,1378,41,1010,76,10945,45
Kevin Anderson,57,19,24,196,19,200,42,1860,8
Florian Mayer,43,37,33,233,33,278,61,1820,12
Carlos Moya,153,62,46,611,38,524,69,5475,13
Juan Carlos Ferrero,136,82,33,694,36,654,65,5290,19
Arnaud Clement,81,62,38,492,37,422,64,4005,11
Jose Acasuso,97,33,40,279,29,307,66,2735,8
Olivier Rochus,19,50,51,259,30,271,63,1895,11
Richard Gasquet,183,91,39,921,38,676,67,7925,24
